""OrderID"",""Region"",""Product"",""SalesAmount"",""Comments"","YearMonth""
"2001","California",Widget "X",450."2",Unwanted!!"Chars@",2023-11"
"2002","Texas",Widget "Y",1100."75","New!!Unwanted@ Problem",2023-11"
"2003",New "York",Widget "Z",250."0",Normal "Data",2023-12"
"2004","Florida",Widget "A",850."0",Special "characters %$",2023-12"
"2005","Washington",Widget "X",1884."19",12345$"Data",2024-01"
"2006","Washington",Widget "B",1221."64",Special "characters %$",2023-12"
"2007","Washington",Widget "B",1354."06",Data "OK",2024-02"
"2008",New "York",Widget "C",570."62","New!!Line
Problem",2024-01"
"2009","Florida",Widget "X",795."8",Special "characters %$",2024-01"
"2010","Arizona",Widget "C",1225."96","New!!Line@
Problem",2024-01"
"2011","Florida",Widget "Z",1010."44",Data "OK",2023-12"
"2012",New "York",Widget "Y",387."42",12345$"Data",2024-01"
"2013",New "York",Widget "Y",1593."08",Normal "Data",2023-11"
"2014","Oregon",Widget "Y",353."46",Normal "Data",2023-11"
"2015","California",Widget "X",1504."7",Normal "Data",2023-12"
"2016",New "York",Widget "B",1797."75",Special "characters %$",2023-12"
"2017",New "York",Widget "B",1816."12",Normal "Data",2024-02"
"2018",New "York",Widget "A",511."28",Normal "Data",2023-12"
"2019","Nevada",Widget "B",1085."39",Contains; odd;; "punctuation!!",2023-12"
"2020","Oregon",Widget "Z",1675."11",12345$"Data",2023-12"
"2021","Oregon",Widget "Y",811."83",Unwanted!!"Chars@",2024-02"
"2022","Oregon",Widget "C",273."37",Contains; odd;; "punctuation!!",2024-02"
"2023","Nevada",Widget "Z",873."92",Normal "Data",2024-01"
"2024","Oregon",Widget "A",1147."41",Normal "Data",2023-12"
"2025","Texas",Widget "X",788."39",Some @@"Symbols",2023-12"
"2026","Washington",Widget "A",224."53",Some @@"Symbols",2024-01"
"2027","Florida",Widget "Z",555."81","New!!Line@
Problem"",2024-01"
"2028","Washington",Widget "X",213."93",Normal "Data",2024-01"
"2029","Arizona",Widget "A",1514."34","New!!Line@
Problem"",2024-01"
"2030","Washington",Widget "Z",542."82",Unwanted!!"Chars@",2023-12"
"2031","Florida",Widget "B",1598."01",Contains; odd;; "punctuation!!",2024-02"
"2032","Washington",Widget "B",335."17",12345$"Data",2023-11"
"2033","Oregon",Widget "Y",1717."99","New!!Line@
Problem",2023-11"
"2034","Arizona",Widget "Y",303."39",Unwanted!!"Chars@",2023-12"
"2035","Florida",Widget "Z",1518."13","New!!Line@
Problem",2024-01"
"2036","Nevada",Widget "Z",375."67",Some @@"Symbols",2023-12"
"2037","Oregon",Widget "Y",1983."98",Contains; odd;; "punctuation!!",2024-01"
"2038",New "York",Widget "Z",822."51","New!!Line@
Problem"",2023-12"
"2039","Nevada",Widget "Y",1523."18",Special "characters %$",2024-01"
"2040","Oregon",Widget "X",988."68",Contains; odd;; "punctuation!!",2023-11"
